conn prev LSN,conn last LSN,page nr,nr in page,transaction num,this LSN,previous LSN,undo next LSN,data length,sequence nr,client index,record type,derived record type,transaction id,flag,is split?,redo operation,undo operation,deriv redo,deriv undo,redo offset,redo length,undo offset,undo length,target attribute,lcn to follow?,record offset,attribute offset,MFT cluster index,target VCN,target LCN,deriv inum,em_MFT seq value,em_USN usn,em_ATTR filename
1068515,1069010,22,4,,1068637,1068610,1068610,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,4,1,598,6,,,
1068515,1069010,22,5,,1068663,1068637,1068637,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,19,64,19,24,1,56,77,4,1,598,6,,,
1068515,1069010,22,6,,1068680,1068663,1068663,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,240,0,0,2,599,8,,,
1068515,1069010,22,7,,1068707,1068680,1068680,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,0,2,599,8,,,
1068515,1069010,22,8,,1068733,1068707,1068707,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,19,64,19,24,1,56,77,0,2,599,8,,,
1068515,1069010,22,9,,1068750,1068733,1068733,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,232,0,6,2,599,11,,,
1068515,1069010,22,10,,1068777,1068750,1068750,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,6,2,599,11,,,
1068515,1069010,22,11,,1068803,1068777,1068777,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,360,0,2,2,599,9,,,
1068515,1069010,22,12,,1068820,1068803,1068803,48,0,0,1,transaction,24,2,False,8,8,Update Nonresident Value,Update Nonresident Value,40,8,40,8,344,1,120,0,0,64,352,256,,,
1068515,1069010,22,13,,1068832,1068820,1068820,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,360,0,2,2,599,9,,,
1068515,1069010,22,14,,1068849,1068832,1068832,48,0,0,1,transaction,24,2,False,8,8,Update Nonresident Value,Update Nonresident Value,40,8,40,8,344,1,120,0,0,0,288,0,,,
1068515,1069010,22,15,,1068861,1068849,1068849,280,0,0,1,transaction,24,0,False,8,8,Update Nonresident Value,Update Nonresident Value,40,120,160,120,344,1,128,0,0,0,288,0,,,
1068515,1069010,22,16,,1068902,1068861,1068861,280,0,0,1,transaction,24,0,False,8,8,Update Nonresident Value,Update Nonresident Value,40,120,160,120,344,1,128,0,0,64,352,256,,,
1068515,1069010,22,17,,1068943,1068902,1068902,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,360,0,2,2,599,9,,,
1068515,1069010,22,18,,1068960,1068943,1068943,80,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,40,80,0,24,1,568,104,2,2,599,9,,,
1068515,1069010,22,19,,1068976,1068960,1068960,88,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,48,88,0,24,1,440,112,2,2,599,9,,,
1068515,1069010,22,20,,1068993,1068976,1068976,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,20,64,20,24,1,56,76,6,2,599,11,,,
1068515,1069010,22,21,,1069010,1068993,1068993,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,232,0,2,2,599,9,,,
1069010,1069343,23,0,,1069037,1069010,1069010,160,0,0,1,transaction,24,1,True,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,2,2,599,9,,,
1069010,1069343,23,1,,1069071,1069037,1069037,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,20,64,20,24,1,56,76,2,2,599,9,,,
1069010,1069343,23,2,,1069088,1069071,1069071,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,232,0,4,2,599,10,,,
1069010,1069343,23,3,,1069115,1069088,1069088,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,4,2,599,10,,,
1069010,1069343,23,4,,1069141,1069115,1069115,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,19,64,19,24,1,56,77,4,2,599,10,,,
1069010,1069343,23,5,,1069158,1069141,1069141,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,20,64,20,24,1,56,76,0,6,47,24,,,
1069010,1069343,23,6,,1069175,1069158,1069158,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,20,64,20,24,1,56,76,4,6,47,26,,,
1069010,1069343,23,7,,1069192,1069175,1069175,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,20,64,20,24,1,56,76,2,6,47,25,,,
1069010,1069343,23,8,,1069209,1069192,1069192,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,232,0,6,0,597,3,,,
1069010,1069343,23,9,,1069236,1069209,1069209,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,6,0,597,3,,,
1069010,1069343,23,10,,1069262,1069236,1069236,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,20,64,20,24,1,56,76,6,0,597,3,,,
1069010,1069343,23,11,,1069279,1069262,1069262,48,0,0,1,transaction,24,0,False,22,21,Clear Bits in Nonresident Bitmap,Set Bits in Nonresident Bitmap,40,8,40,8,104,1,0,0,0,0,594,0,,,
1069010,1069343,23,12,,1069291,1069279,1069279,112,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,72,24,1,368,0,0,1,598,4,,,
1069010,1069343,23,13,,1069311,1069291,1069291,48,0,0,1,transaction,24,0,False,21,22,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,40,8,40,8,104,1,0,0,0,0,594,0,,,
1069010,1069343,23,14,,1069323,1069311,1069311,112,0,0,1,transaction,24,4,False,5,6,Create Attribute,Delete Attribute,40,72,112,0,24,1,368,0,0,1,598,4,,,
1069010,1069343,23,15,,1069343,1069323,1069323,80,0,0,1,transaction,24,4,False,28,0,Open Non Resident Attribute,No-Operation,40,40,80,0,464,0,0,0,0,0,4126471552,0,,,
