mft lsn,correct,length,transaction num,page_origins,first_lsn,last_lsn,first_redo,first_undo,last_redo,last_undo,need previous,no forget+compensation,mft,mft attribute,usn,all_opcodes
1074501,True,8,125,"49-14, 49-15, 49-16, 49-17, 49-18, 49-19, 49-20, 49-21",1074402,1074520,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,Forget Transaction,Compensation Log Record,,,[],[],"[(1074480, 160)]","[(1074402, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1074414, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074431, 'Update Mapping Pairs', 'Update Mapping Pairs'), (1074444, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074461, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074480, 'Update Nonresident Value', 'No-Operation'), (1074501, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074520, 'Forget Transaction', 'Compensation Log Record')]"
1078237,True,4,103,"56-26, 56-27, 56-28, 56-29",1078196,1078256,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1078215, 2184)]","[(1078196, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1078215, 'Update Nonresident Value', 'No-Operation'), (1078237, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1078256, 'Forget Transaction', 'Compensation Log Record')]"
1080840,True,3,111,"61-16, 62-1, 62-2",1080805,1080865,Update Resident Value,Update Resident Value,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1080805, 'Update Resident Value', 'Update Resident Value'), (1080840, 'Update File Name Allocation', 'Update File Name Allocation'), (1080865, 'Forget Transaction', 'Compensation Log Record')]"
1081582,True,6,33,"63-9, 63-10, 63-11, 63-12, 63-13, 63-14",1081504,1081601,Add Index Entry Root,Delete Index Entry Root,Forget Transaction,Compensation Log Record,,,[],"[(1081526, 'ObjectID')]","[(1081561, 3536)]","[(1081504, 'Add Index Entry Root', 'Delete Index Entry Root'), (1081526, 'Create Attribute', 'Delete Attribute'), (1081542, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1081561, 'Update Nonresident Value', 'No-Operation'), (1081582, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1081601, 'Forget Transaction', 'Compensation Log Record')]"
1081327,True,3,3,"62-17, 63-0, 63-1",1081300,1081360,Update Resident Value,Update Resident Value,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1081300, 'Update Resident Value', 'Update Resident Value'), (1081327, 'Update File Name Allocation', 'Update File Name Allocation'), (1081360, 'Forget Transaction', 'Compensation Log Record')]"
1071861,True,2,61,"44-12, 44-13",1071861,1071886,Update File Name Allocation,Update File Name Allocation,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1071861, 'Update File Name Allocation', 'Update File Name Allocation'), (1071886, 'Forget Transaction', 'Compensation Log Record')]"
1079286,True,2,7,"59-0, 59-1",1079286,1079319,Update File Name Allocation,Update File Name Allocation,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1079286, 'Update File Name Allocation', 'Update File Name Allocation'), (1079319, 'Forget Transaction', 'Compensation Log Record')]"
1075452,True,9,28,"51-8, 51-9, 51-10, 51-11, 51-12, 51-13, 51-14, 51-15, 51-16",1075329,1075478,Open Non Resident Attribute,No-Operation,Forget Transaction,Compensation Log Record,,,[],"[(1075379, 'ObjectID')]","[(1075414, 720)]","[(1075329, 'Open Non Resident Attribute', 'No-Operation'), (1075346, 'No-Operation', 'No-Operation'), (1075357, 'Add Index Entry Root', 'Delete Index Entry Root'), (1075379, 'Create Attribute', 'Delete Attribute'), (1075395, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1075414, 'Update Nonresident Value', 'No-Operation'), (1075433, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1075452, 'Update Resident Value', 'Update Resident Value'), (1075478, 'Forget Transaction', 'Compensation Log Record')]"
1071359,True,5,35,"43-12, 43-13, 43-14, 43-15, 43-16",1071307,1071418,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,Forget Transaction,Compensation Log Record,,,"[(1071359, 33, 1)]",[],[],"[(1071307, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1071319, 'No-Operation', 'Deallocate File Record Segment'), (1071331, 'Add Index Entry Allocation', 'Delete Index Entry Allocation'), (1071359, 'Initialize File Record Segment', 'No-Operation'), (1071418, 'Forget Transaction', 'Compensation Log Record')]"
,False,1,8,43-3,1071136,1071136,Clear Bits in Nonresident Bitmap,Compensation Log Record,Clear Bits in Nonresident Bitmap,Compensation Log Record,1071124,,[],[],[],"[(1071136, 'Clear Bits in Nonresident Bitmap', 'Compensation Log Record')]"
,False,1,11,43-4,1071148,1071148,Forget Transaction,Compensation Log Record,Forget Transaction,Compensation Log Record,1071136,,[],[],[],"[(1071148, 'Forget Transaction', 'Compensation Log Record')]"
,False,1,19,47-2,1073238,1073238,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1073238, 'Compensation Log Record', 'No-Operation')]"
1085462,False,2,29,"71-2, 71-3",1085462,1085596,unknown,No-Operation,unknown,No-Operation,,True,[],[],[],"[(1085462, 'unknown', 'No-Operation'), (1085596, 'unknown', 'No-Operation')]"
1080308,False,3,36,"60-22, 61-0, 61-1",1080174,1080350,unknown,No-Operation,Dirty Page Table Dump,No-Operation,,True,[],[],[],"[(1080174, 'unknown', 'No-Operation'), (1080308, 'unknown', 'No-Operation'), (1080350, 'Dirty Page Table Dump', 'No-Operation')]"
,False,1,37,71-4,1085630,1085630,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1085630, 'Compensation Log Record', 'No-Operation')]"
,False,1,41,62-5,1081044,1081044,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1081044, 'Compensation Log Record', 'No-Operation')]"
1073068,False,2,50,"47-0, 47-1",1073068,1073210,unknown,No-Operation,unknown,No-Operation,,True,[],[],[],"[(1073068, 'unknown', 'No-Operation'), (1073210, 'unknown', 'No-Operation')]"
1081887,False,3,57,"64-0, 64-1, 64-2",1081745,1081921,unknown,No-Operation,Dirty Page Table Dump,No-Operation,,True,[],[],[],"[(1081745, 'unknown', 'No-Operation'), (1081887, 'unknown', 'No-Operation'), (1081921, 'Dirty Page Table Dump', 'No-Operation')]"
1073570,False,2,62,"48-0, 48-1",1073570,1073712,unknown,No-Operation,unknown,No-Operation,,True,[],[],[],"[(1073570, 'unknown', 'No-Operation'), (1073712, 'unknown', 'No-Operation')]"
,False,1,68,70-4,1085147,1085147,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1085147, 'Compensation Log Record', 'No-Operation')]"
,False,1,72,48-2,1073740,1073740,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1073740, 'Compensation Log Record', 'No-Operation')]"
,False,1,86,64-3,1082095,1082095,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1082095, 'Compensation Log Record', 'No-Operation')]"
1084373,False,3,92,"68-19, 68-20, 69-0",1084239,1084407,unknown,No-Operation,Dirty Page Table Dump,No-Operation,,True,[],[],[],"[(1084239, 'unknown', 'No-Operation'), (1084373, 'unknown', 'No-Operation'), (1084407, 'Dirty Page Table Dump', 'No-Operation')]"
,False,1,96,33-1,1065992,1065992,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1065992, 'Compensation Log Record', 'No-Operation')]"
,False,1,108,69-1,1084589,1084589,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1084589, 'Compensation Log Record', 'No-Operation')]"
1082408,False,2,109,"65-3, 65-4",1082408,1082542,unknown,No-Operation,unknown,No-Operation,,True,[],[],[],"[(1082408, 'unknown', 'No-Operation'), (1082542, 'unknown', 'No-Operation')]"
1084743,False,3,117,"69-2, 69-3, 70-0",1084609,1084777,unknown,No-Operation,Dirty Page Table Dump,No-Operation,,True,[],[],[],"[(1084609, 'unknown', 'No-Operation'), (1084743, 'unknown', 'No-Operation'), (1084777, 'Dirty Page Table Dump', 'No-Operation')]"
,False,1,118,65-5,1082576,1082576,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1082576, 'Compensation Log Record', 'No-Operation')]"
,False,1,122,61-2,1080524,1080524,Compensation Log Record,No-Operation,Compensation Log Record,No-Operation,,True,[],[],[],"[(1080524, 'Compensation Log Record', 'No-Operation')]"
